00:01,28,41,5,1,24
00:01,47,50,6,2,8
00:01,6,31,32,3,24
00:01,63,2,4,4,24
00:02,46,48,4,5,24
00:03,17,37,6,6,24
00:03,49,41,19,7,24
00:03,6,32,5,8,24
00:41,2,37,5,9,24
00:45,54,1,4,10,24
00:50,41,19,5,11,3
00:55,9,47,5,12,24
00:57,53,26,5,13,24
01:13,40,3,6,14,24
01:29,68,18,4,15,24
01:32,70,28,12,16,24
01:37,54,32,6,17,24
01:41,40,41,8,18,8
01:54,57,45,20,19,8
02:13,51,13,6,20,24
02:23,17,24,19,21,8
02:34,68,31,6,22,24
02:53,13,41,6,23,24
03:19,15,26,49,24,24
03:24,22,25,5,25,24
03:31,29,27,5,26,8
03:35,42,27,5,27,8
03:48,25,8,5,28,24
04:17,68,50,5,29,24
04:18,59,32,6,30,24
04:26,64,40,5,31,24
04:34,61,34,40,32,24
05:09,6,28,55,33,24
05:15,25,5,6,34,24
05:16,50,47,5,35,8
05:17,60,21,4,36,24
05:41,12,45,6,37,24
05:58,27,24,4,38,8
06:05,12,37,16,39,24
06:05,46,16,9,40,4
06:12,54,24,6,41,4
06:38,27,24,5,42,24
06:49,64,50,4,43,24
07:09,52,16,4,44,24
07:29,13,32,4,45,24
07:34,65,18,5,46,24
07:46,51,20,1,47,3
07:51,68,45,4,48,24
07:56,40,49,4,49,24
08:10,18,50,5,50,24
08:31,34,4,52,51,24
08:34,70,24,19,52,8
08:37,49,2,6,53,24
08:43,60,34,6,54,8
09:01,59,42,4,55,24
09:42,36,4,6,56,24
09:42,67,1,5,57,24
09:48,62,50,30,58,24
10:31,64,5,6,59,24
10:38,41,37,3,60,2
10:43,1,27,5,61,24
11:05,14,27,5,62,24
11:30,42,15,5,63,24
11:34,46,49,5,64,24
11:34,47,49,6,65,24
11:50,12,42,5,66,8
12:17,9,11,19,67,24
12:19,15,32,5,68,24
12:21,60,34,36,69,24
12:35,52,7,6,70,24
12:36,2,36,4,71,24
13:09,60,50,5,72,24
13:12,10,18,6,73,24
13:18,21,2,6,74,8
13:37,22,2,5,75,24
13:58,41,25,6,76,24
14:07,25,28,6,77,24
14:11,21,49,6,78,24
14:28,64,31,6,79,24
14:52,12,9,6,80,8
14:57,39,15,20,81,24
15:01,25,2,2,82,24
15:03,46,45,5,83,24
15:20,56,48,5,84,24
15:29,22,35,6,85,24
15:39,54,6,21,86,24
15:46,38,13,8,87,24
15:47,37,32,6,88,24
15:55,33,29,4,89,8
16:05,49,28,5,90,24
16:30,28,33,5,91,24
16:37,21,20,5,92,24
16:40,57,2,5,93,4
16:51,32,19,4,94,24
17:14,39,16,5,95,3
17:21,18,49,5,616,24
17:27,46,2,4,530,24
17:30,57,32,4,821,24
18:02,18,45,4,607,24
18:03,54,45,4,416,24
18:09,50,39,2,478,2
18:12,44,8,3,245,24
18:13,34,32,6,162,8
18:14,67,42,5,492,8
18:20,38,25,5,708,4
18:31,61,43,10,427,4
18:40,18,45,6,612,8
18:40,54,42,21,433,24
18:43,54,35,2,769,2
19:03,17,18,2,138,24
19:03,21,9,5,680,4
19:16,10,25,5,703,24
19:17,7,39,5,371,24
19:23,30,19,3,505,24
19:34,62,13,3,123,4
19:44,54,34,5,236,24
19:52,43,24,4,530,4
19:54,4,12,4,477,8
20:02,54,18,4,290,24
20:09,64,36,5,728,8
20:13,68,1,6,858,24
20:21,8,7,20,543,8
20:32,33,38,7,59,8
20:35,53,43,6,34,4
20:38,58,44,4,799,24
20:43,43,36,11,368,24
21:02,49,20,2,225,2
21:15,29,16,3,417,24
21:21,58,32,2,796,24
21:23,70,36,5,294,4
21:36,14,35,5,451,8
21:41,66,8,4,191,4
21:42,40,34,6,14,3
21:44,30,28,5,610,3
21:58,58,2,6,641,4
22:16,59,22,5,803,4
22:20,56,28,3,579,4
22:27,55,28,4,184,8
22:36,57,32,6,369,4
22:41,3,5,5,40,4
22:50,49,33,5,226,3
22:51,31,22,4,390,3
22:55,6,25,4,101,24
23:08,39,23,5,576,3
23:09,44,33,5,709,3
23:31,27,42,3,885,4
23:33,42,23,3,17,2
23:37,35,26,2,807,2
23:38,41,28,2,433,2
23:39,35,28,2,416,2
